x,y
4.705146822,-2.375634411
3.099020947,-2.581822999
1.109412172,-2.656558252
-0.271052387,-3.194019267
-2.001525557,-4.298521658
-3.392637935,-5.586259678
-5.026610003,-6.905434962
-7.155316427,-7.590817735
-9.806539689,-7.61826488
-11.89124352,-7.111864788
-14.00417447,-5.369214087
-15.10582716,-3.8603822
-16.12844749,-2.103198087
-16.97086167,-0.554583657
-17.5003387,1.222030243
-17.79626399,3.008357532
-17.74013543,5.049606369
-17.41087621,6.872473732
-16.91511733,8.647207963
-16.30288664,10.21821165
-15.25866962,12.05163427
-14.23389321,13.27248706
-12.90165298,14.55047413
-11.19651297,15.76883354
-9.07755837,16.16988795
-6.968816779,16.0912999
-4.694588493,15.61789132
-2.791687533,14.66737981
-1.209121501,13.70217417
0.229201988,12.67069892
1.31351587,11.67465893
2.397138935,10.61476031
3.658147354,9.263907469
4.903840554,8.318535385
6.148050242,8.404852165
7.217652052,9.005671684
8.272933752,10.14281541
9.189423756,11.16820977
10.33777064,12.40549555
11.53962075,13.55839188
13.16602626,14.5022095
15.19536774,15.01884272
17.15699718,14.69586934
18.79668087,13.82048614
20.53892592,12.32974874
22.01017664,10.64739284
22.92478124,8.964505786
23.45826271,7.185973601
23.62124505,5.482959743
23.65727669,3.462088859
23.29731145,1.538521544
22.48496797,-0.294984345
21.44261673,-1.668077196
20.42194983,-3.094265981
19.17901379,-4.195823474
17.93706643,-4.681255106
16.48395918,-4.998110095
14.72085613,-5.164413482
13.55053147,-5.134334835
11.62766256,-4.547827399
10.32305828,-3.645541759
9.153115087,-3.033151737
7.814017958,-2.639677172
6.272590005,1.970941964
5.980069809,1.924670634
4.624631689,1.940530722
2.626432609,2.007631145
0.857323328,1.826582294
-1.112031283,1.73345669
-2.621188015,1.353358825
-3.664686567,0.539136863
-4.738033192,-0.846680301
-5.785827854,-2.207521901
-6.965483227,-3.222477258
-8.403479735,-3.679552795
-9.962541703,-3.212989084
-11.16542702,-2.192065305
-12.1386159,-0.795752193
-12.71341743,0.763400095
-13.19921547,2.451548997
-13.4758297,4.595631547
-13.17131143,6.489705358
-12.70023146,8.093780315
-11.91227975,9.466881872
-10.83946685,10.85186013
-9.328782519,11.76567016
-7.839582457,12.04061572
-5.981690723,11.82125152
-4.568888024,11.29129621
-3.218815977,10.39248924
-1.987840458,9.370075906
-0.740087041,8.243317461
0.483694434,7.082699383
1.369260845,5.775505264
2.924095648,4.706521618
4.294927304,3.94151268
5.352331094,3.854981633
6.382724862,3.925221316
7.841265753,4.524371207
9.161857021,5.050184608
10.68525323,6.520043681
12.04427963,8.152627085
13.25010428,9.633086101
14.61643288,10.47152906
16.6366343,10.30247568
18.20795965,9.286948682
19.19237254,7.902201244
19.56128698,6.415916237
19.63259821,4.524184127
19.28656202,2.657118677
18.64400171,1.298107313
17.61318219,0.166076512
16.16504152,-0.36640452
14.76594315,-0.946061104
13.3290725,-0.908412296
11.96966555,-0.180153658
10.73646053,0.774407604
9.206290949,1.627265135
7.401248096,1.911154951
5.518615737,-2.505023411
6.041390633,-2.517689942
